V101	countyfips	countyname
361018952.0	04013	"Maricopa AZ"
361182426.0	25015	"Hampshire MA"
360873135.0	10003	"New Castle DE"
361039382.0	36059	"Nassau NY"
360999746.0	25015	"Hampshire MA"
362301468.0	12011	"Broward FL"
361023316.0	48113	"Dallas TX"
360998091.0	24021	"Frederick MD"
360961852.0	04019	"Pima AZ"
361131528.0	42017	"Bucks PA"
361050742.0	27001	"Aitkin MN"
361222790.0	53061	"Snohomish WA"
360942590.0	53033	"King WA"
360942965.0	06073	"San Diego CA"
360984249.0	41067	"Washington OR"
360655918.0	39057	"Greene OH"
360976971.0	06037	"Los Angeles CA"
360984713.0	47187	"Williamson TN"
361017308.0	23005	"Cumberland ME"
361238266.0	13063	"Clayton GA"
360976977.0	06081	"San Mateo CA"
361036585.0	26163	"Wayne MI"
360996844.0	06037	"Los Angeles CA"
360981442.0	04013	"Maricopa AZ"
360991090.0	04013	"Maricopa AZ"
361360076.0	04013	"Maricopa AZ"
361055153.0	04013	"Maricopa AZ"
360974599.0	04013	"Maricopa AZ"
361017368.0	04013	"Maricopa AZ"
360943245.0	04013	"Maricopa AZ"
360984076.0	08123	"Weld CO"
361003601.0	37171	"Surry NC"
360976147.0	12109	"St. Johns FL"
362202885.0	12071	"Lee FL"
360795927.0	06085	"Santa Clara CA"
362690224.0	47157	"Shelby TN"
360996710.0	06093	"Siskiyou CA"
360976901.0	36119	"Westchester NY"
361064743.0	21211	"Shelby KY"
361053432.0	38105	"Williams ND"
362458216.0	39035	"Cuyahoga OH"
360963330.0	51107	"Loudoun VA"
360992143.0	55101	"Racine WI"
360989093.0	42115	"Susquehanna PA"
360982243.0	34025	"Monmouth NJ"
360984285.0	18097	"Marion IN"
360993643.0	04019	"Pima AZ"
361010459.0	26005	"Allegan MI"
362860579.0	06095	"Solano CA"
361039594.0	17045	"Edgar IL"
360962137.0	06001	"Alameda CA"
361012565.0	51095	"James City VA"
361437484.0	35001	"Bernalillo NM"
360987505.0	13121	"Fulton GA"
360974587.0	41019	"Douglas OR"
361023912.0	20173	"Sedgwick KS"
361028559.0	34039	"Union NJ"
361015339.0	06073	"San Diego CA"
360989483.0	26125	"Oakland MI"
360991189.0	39049	"Franklin OH"
361289932.0	26045	"Eaton MI"
360911755.0	06013	"Contra Costa CA"
361009944.0	12117	"Seminole FL"
360984646.0	09001	"Fairfield CT"
360988173.0	32031	"Washoe NV"
361029225.0	36069	"Ontario NY"
361006951.0	06001	"Alameda CA"
360985629.0	18011	"Boone IN"
360967375.0	08059	"Jefferson CO"
361047678.0	05143	"Washington AR"
360997478.0	13089	"DeKalb GA"
362855006.0	36061	"New York NY"
360988122.0	55025	"Dane WI"
362882766.0	36067	"Onondaga NY"
362870425.0	25021	"Norfolk MA"
361012078.0	51059	"Fairfax VA"
361022974.0	06017	"El Dorado CA"
360985567.0	12041	"Gilchrist FL"
360979636.0	41013	"Crook OR"
361333924.0	40117	"Pawnee OK"
361134919.0	42079	"Luzerne PA"
359967107.0	36103	"Suffolk NY"
360993216.0	06037	"Los Angeles CA"
361055911.0	06073	"San Diego CA"
361166645.0	16007	"Bear Lake ID"
360989918.0	04019	"Pima AZ"
360035312.0	06067	"Sacramento CA"
361015317.0	42003	"Allegheny PA"
361007587.0	04013	"Maricopa AZ"
361023266.0	39057	"Greene OH"
360032889.0	06037	"Los Angeles CA"
361002284.0	27123	"Ramsey MN"
360996203.0	12069	"Lake FL"
360981841.0		""
361439759.0	13067	"Cobb GA"
361011988.0	09001	"Fairfield CT"
361004182.0	48201	"Harris TX"
360020335.0	39153	"Summit OH"
361009411.0	06085	"Santa Clara CA"
363100953.0	34013	"Essex NJ"
361687909.0	26033	"Chippewa MI"
360024771.0	47059	"Greene TN"
361190757.0	42069	"Lackawanna PA"
361304015.0	06041	"Marin CA"
360993327.0	12099	"Palm Beach FL"
360997473.0	12095	"Orange FL"
360985999.0	12015	"Charlotte FL"
360995032.0	23011	"Kennebec ME"
360982204.0	36033	"Franklin NY"
361659240.0	25005	"Bristol MA"
361042133.0	09001	"Fairfield CT"
360962147.0	17197	"Will IL"
361131574.0	19099	"Jasper IA"
361431694.0	55101	"Racine WI"
361000253.0	42095	"Northampton PA"
361036317.0	32003	"Clark NV"
360996696.0	48491	"Williamson TX"
361140689.0	26145	"Saginaw MI"
361038685.0	20091	"Johnson KS"
361007068.0	13121	"Fulton GA"
362199402.0	39143	"Sandusky OH"
360761728.0	33011	"Hillsborough NH"
360993270.0	01015	"Calhoun AL"
359984326.0	26125	"Oakland MI"
360997077.0	04013	"Maricopa AZ"
360976974.0	48265	"Kerr TX"
360975131.0	21111	"Jefferson KY"
361074859.0	37119	"Mecklenburg NC"
361011732.0	49011	"Davis UT"
361067193.0	53035	"Kitsap WA"
361001357.0	34025	"Monmouth NJ"
