"Quarter","Quarterly retail turnover: $m current. Jun 1982 ? Dec 1991."
"1982Q3",13423.2
"1982Q4",13128.8
"1983Q1",15398.8
"1983Q2",12964.2
"1983Q3",13133.5
"1983Q4",13271.7
"1984Q1",15596.3
"1984Q2",13018.0
"1984Q3",13409.3
"1984Q4",13304.2
"1985Q1",15873.9
"1985Q2",13366.5
"1985Q3",13998.6
"1985Q4",14045.1
"1986Q1",16650.3
"1986Q2",13598.4
"1986Q3",14183.2
"1986Q4",14128.5
"1987Q1",16380.7
"1987Q2",13512.8
"1987Q3",14022.1
"1987Q4",14231.8
"1988Q1",16737.0
"1988Q2",14004.5
"1988Q3",14165.5
"1988Q4",14203.9
"1989Q1",16895.1
"1989Q2",14248.2
"1989Q3",14719.5
"1989Q4",14855.8
"1990Q1",17361.6
"1990Q2",14585.2
"1990Q3",14873.5
"1990Q4",14798.4
"1991Q1",17115.2
"1991Q2",14284.9
"1991Q3",14558.8
"1991Q4",14914.3
"1992Q1",17342.3

Quarterly retail turnover: $m current. Jun 1982 ? Dec 1991.

